38,8,75,31,90,6,51,14,8,32,38,59,59,66,10,16,44,60,15,28
97,57,31,87,93,87,36,27,99,98,79,13,46,62,62,62,12,32,10,51
36,79,12,46,37,2,11,83,37,98,81,56,86,47,99,72,49,90,89,35
94,94,6,39,59,68,98,12,92,47,93,15,21,35,20,89,88,61,8,38
55,43,98,53,20,21,93,21,60,32,83,32,25,55,41,47,90,82,45,88
57,6,20,20,2,34,78,51,85,20,60,69,15,55,68,19,93,38,87,80
37,32,78,83,43,88,50,84,52,59,92,11,20,68,36,76,42,16,1,15
77,33,51,95,62,53,9,12,17,54,7,16,84,58,23,99,39,95,43,79
64,27,94,23,38,15,29,27,7,82,31,59,23,23,12,28,58,9,90,48
24,60,6,18,62,88,72,75,66,39,23,50,83,60,66,10,43,11,22,50
59,25,60,40,27,87,6,3,28,67,70,55,96,34,50,13,6,24,16,10
96,91,4,44,54,65,37,49,92,6,69,28,49,17,70,17,36,92,71,9
67,84,33,92,22,77,23,97,36,4,26,2,37,42,34,27,51,21,4,19
59,30,4,53,29,20,18,49,39,17,49,77,86,10,9,72,53,59,70,2
16,69,63,38,20,43,17,17,20,11,59,42,39,81,59,63,62,67,100,24
97,92,55,40,14,78,59,48,73,54,60,58,13,52,64,57,62,14,96,15
16,72,89,1,28,74,36,25,98,67,100,12,4,42,58,84,1,40,44,48
96,22,21,75,97,68,10,11,20,94,91,30,85,53,24,66,69,53,97,26
13,36,44,92,91,18,60,98,30,27,31,18,27,55,5,88,41,38,97,19
66,66,14,13,4,30,22,22,73,36,25,78,63,94,17,8,36,98,35,41
