28,37,23,51,19,5,42,9,27,34,22,38,32,26,29,17,12,44,13,2,4,24,39,15,16,50,47,11,30,40,46,20,14,10,35,25,49,43,21,18,41,1,45,8,48,36,6,7,33,31,3
31,18,23,41,36,9,15,11,12,3,35,42,2,37,46,28,20,26,7,27,40,47,49,6,29,13,8,22,44,43,38,50,1,16,4,32,19,25,30,39,51,21,10,45,17,48,24,33,34,5,14
10,50,4,13,15,51,35,14,6,46,36,28,8,18,44,7,19,39,47,16,21,11,48,1,17,26,32,42,43,45,27,37,12,29,2,34,22,38,31,9,30,33,24,41,49,3,5,40,20,25,23
19,45,39,36,11,7,21,16,32,17,10,6,31,25,23,28,18,51,34,20,8,22,48,44,38,4,46,24,5,35,15,3,49,14,26,43,41,47,50,30,29,40,1,42,27,9,33,13,37,12,2
37,16,31,9,39,35,11,21,38,12,3,44,24,2,4,20,51,6,40,10,30,13,28,1,47,36,29,8,41,42,43,34,45,18,14,27,32,5,22,48,46,33,25,23,7,17,19,49,15,50,26
16,48,13,23,18,36,47,30,3,38,51,15,4,33,31,41,5,35,19,49,29,10,2,28,1,46,26,11,50,22,44,7,20,25,42,12,43,6,17,8,39,9,45,32,34,21,27,40,24,37,14
42,48,40,14,9,31,20,38,41,18,45,21,29,3,44,33,12,19,7,11,8,24,22,2,50,51,43,28,34,27,5,32,49,46,17,25,16,36,1,6,39,26,23,47,37,4,15,13,35,30,10
27,7,1,18,47,10,22,41,11,39,15,4,42,21,17,20,12,30,36,45,46,33,6,49,50,48,23,13,25,8,31,34,43,19,5,24,2,3,44,16,29,37,32,14,9,35,40,51,38,26,28
36,37,50,43,9,11,13,34,12,40,39,10,17,26,23,46,45,48,32,31,35,49,33,44,25,21,2,27,38,18,47,42,14,4,29,22,19,30,3,51,7,41,15,28,24,8,6,20,5,16,1
19,37,45,6,20,4,22,12,36,7,28,42,44,18,15,49,29,41,48,23,10,40,43,9,33,38,26,14,16,50,24,3,5,39,46,27,51,17,34,32,8,11,21,1,31,13,2,25,35,47,30
48,27,6,11,32,31,24,36,9,35,38,13,7,19,49,40,45,15,33,44,18,5,3,29,51,30,34,8,43,39,12,10,23,41,16,50,1,42,37,14,2,28,17,4,21,47,25,22,46,26,20
22,15,35,31,7,44,10,27,14,20,4,13,25,26,42,24,38,12,19,17,32,21,16,47,30,39,18,51,46,9,37,33,3,48,28,40,43,2,5,41,6,29,36,1,50,45,49,11,8,34,23
26,49,13,43,32,47,2,44,14,10,23,35,34,5,20,39,3,19,27,28,25,7,33,12,15,8,48,21,6,45,16,37,9,36,30,41,29,1,4,46,42,40,11,38,22,50,18,31,24,17,51
28,18,40,30,34,3,29,16,47,19,1,38,5,20,22,23,14,26,8,41,31,21,13,10,50,33,17,15,37,32,51,9,39,49,43,44,45,48,25,12,42,4,6,27,11,36,46,7,24,2,35
23,39,28,12,35,36,18,37,33,32,16,19,48,29,38,24,47,22,10,45,1,34,3,41,44,30,31,50,13,25,9,49,7,27,51,11,14,4,2,43,46,42,26,40,21,15,17,20,6,8,5
44,4,37,16,23,43,40,48,25,3,9,2,28,42,7,30,46,1,38,12,36,51,33,47,49,21,8,24,39,19,22,26,27,20,11,31,34,14,15,17,45,5,18,13,35,41,10,32,29,50,6
14,39,23,37,12,42,2,44,27,33,21,28,8,3,45,41,7,13,17,26,50,51,40,6,49,25,30,11,38,19,15,4,43,10,22,18,47,29,5,34,35,36,48,24,20,1,46,32,31,9,16
28,8,36,25,7,29,2,43,45,15,11,22,17,51,10,1,31,42,30,27,44,14,20,48,35,18,34,32,4,49,40,50,41,47,37,21,9,38,24,39,13,46,5,6,19,3,26,33,16,12,23
14,21,37,19,50,28,27,25,10,39,6,38,16,9,33,47,5,35,11,3,22,8,45,36,18,26,29,40,32,17,20,49,41,34,2,46,4,43,13,24,44,1,31,15,51,42,23,30,12,7,48
45,28,50,25,43,35,13,41,8,16,18,46,32,29,12,26,24,27,44,30,9,20,22,7,36,42,3,15,51,40,31,39,1,14,11,19,2,10,48,17,38,37,23,49,47,21,33,6,4,34,5
32,6,29,46,12,8,50,19,33,43,42,39,1,10,9,27,18,34,28,48,17,51,2,36,11,26,4,14,13,30,15,21,3,25,35,44,31,16,23,41,47,37,7,38,45,49,22,40,24,20,5
42,32,35,51,34,46,22,30,28,11,17,20,48,21,19,23,8,39,3,4,12,47,9,13,33,18,49,25,43,27,7,5,15,31,10,14,38,37,45,6,41,40,29,50,26,44,24,36,2,1,16
40,31,30,51,21,34,35,4,20,5,42,12,27,3,15,47,33,1,25,43,48,9,24,44,11,6,41,36,16,32,37,22,29,49,45,26,18,38,8,50,19,46,2,28,14,13,7,17,39,23,10
39,8,13,31,14,30,40,38,32,12,25,44,5,22,6,15,18,51,20,41,11,19,1,17,3,46,50,43,28,45,48,49,2,9,21,37,26,35,27,23,10,42,29,47,36,4,34,24,33,7,16
30,4,33,40,11,48,5,34,39,44,24,12,16,37,26,35,45,43,25,38,51,19,46,10,3,28,22,9,50,14,29,15,36,2,49,32,41,21,42,18,27,47,17,7,20,23,6,31,8,1,13
27,49,32,46,16,15,18,17,5,42,34,24,41,51,31,33,40,9,11,38,6,22,44,25,20,47,19,45,30,8,2,43,23,21,50,28,35,1,48,26,10,3,39,36,13,7,14,29,12,37,4
33,48,1,42,15,20,43,22,18,26,19,40,10,36,35,11,3,28,4,34,39,44,8,21,45,2,13,6,31,50,41,30,25,47,5,38,17,7,23,9,14,51,32,12,29,46,49,24,16,37,27
47,27,25,6,8,24,33,42,13,18,39,17,34,36,23,4,2,22,26,3,9,40,31,28,5,29,16,1,32,51,50,48,15,46,14,44,20,10,43,12,41,21,45,38,49,35,30,11,37,19,7
1,20,7,26,38,27,13,35,17,31,6,29,14,36,15,24,8,30,49,21,32,40,28,11,37,33,34,44,2,42,39,47,4,12,5,45,19,16,3,10,43,46,25,18,9,41,50,51,22,48,23
18,42,49,4,31,21,14,15,40,25,5,50,19,23,13,22,32,38,51,44,45,12,47,17,29,27,24,33,43,16,34,39,37,28,7,26,35,3,48,1,46,8,6,2,30,20,10,9,36,41,11
19,7,14,48,11,16,40,37,24,31,38,32,49,25,2,50,18,3,46,34,9,36,30,23,10,12,17,1,4,22,27,15,5,20,42,39,8,47,41,13,44,43,33,45,28,26,21,51,29,6,35
27,10,23,42,22,12,46,26,43,51,21,36,41,33,24,35,50,13,2,9,32,30,14,44,31,16,18,34,45,4,38,48,29,40,20,3,1,11,7,47,28,37,19,6,39,8,5,15,25,49,17
44,4,22,19,48,18,32,15,25,12,34,38,41,16,36,17,21,13,51,24,6,9,27,37,49,1,35,7,2,30,45,43,11,46,10,47,5,28,39,14,8,40,3,33,29,50,20,23,42,26,31
16,41,49,11,31,17,15,3,1,19,51,36,4,35,20,26,25,44,24,6,47,18,32,33,7,48,9,39,21,45,23,50,2,40,14,42,38,34,22,27,29,10,37,43,12,28,46,8,30,5,13
48,34,50,36,29,15,18,31,28,44,11,26,9,22,49,1,45,5,47,3,4,16,21,38,39,35,6,14,12,46,41,43,19,25,51,40,32,24,8,20,17,42,27,30,37,2,7,13,33,23,10
16,29,41,36,38,1,48,27,47,42,51,25,26,39,7,33,8,21,2,5,40,45,9,24,4,11,46,14,13,6,10,50,23,18,49,37,12,32,44,19,28,34,30,3,20,35,15,22,31,17,43
4,42,51,39,1,35,36,19,12,10,5,8,27,11,21,47,22,28,25,41,46,17,14,18,49,38,30,2,15,31,3,6,20,40,16,24,32,26,9,33,50,43,44,29,45,48,13,34,23,7,37
21,11,4,14,5,51,23,1,20,13,30,22,25,17,12,3,35,26,8,7,40,28,43,42,33,49,27,6,39,9,29,38,46,36,2,32,16,47,18,24,31,15,34,48,50,41,19,44,45,10,37
24,44,51,9,16,41,13,45,46,42,32,4,48,11,18,8,30,33,7,47,26,6,12,29,40,34,36,1,27,35,37,49,21,22,10,17,15,2,39,5,28,38,19,31,50,23,14,20,25,3,43
25,31,51,13,39,19,38,49,32,14,16,7,18,6,46,17,1,8,9,43,24,27,3,41,45,4,42,36,2,34,23,22,21,20,11,44,12,30,48,47,33,10,26,37,29,50,40,15,28,5,35
51,13,23,7,14,16,2,42,45,49,11,8,18,5,43,31,9,48,41,38,25,10,30,36,1,40,50,37,3,46,26,33,35,6,32,39,21,20,44,22,17,27,34,15,19,12,29,4,28,47,24
33,39,35,2,1,11,12,9,20,44,47,43,41,46,40,29,8,34,3,28,36,30,4,48,14,21,23,32,18,5,50,42,22,27,51,17,38,24,49,19,15,13,16,26,6,45,31,10,25,37,7
10,19,38,25,36,50,9,7,21,33,43,41,42,16,48,8,22,23,32,18,34,31,37,35,49,1,24,20,2,46,27,51,29,4,30,47,6,45,13,44,39,14,15,12,11,17,40,5,26,3,28
22,6,46,14,8,13,7,25,16,1,43,41,5,37,27,40,31,35,24,49,44,10,26,42,39,28,48,32,23,29,33,36,2,51,21,20,4,15,9,19,11,50,18,17,38,34,45,30,12,3,47
