11,73,79,15,97,54,46,45,34,94,90,80,2,63,81,33,23,23,62,74,68,79,3,63,30,24,100,34,10,6,23,6,95,67,51,22,47,74,60,37,64,66,62,27,88,49,95,95,71,9
60,53,15,88,29,3,27,76,52,51,8,96,35,95,18,19,1,5,22,5,70,69,37,58,93,79,51,26,82,27,7,42,40,85,94,30,85,11,29,50,33,95,4,84,43,70,12,43,30,10
56,36,100,98,8,64,54,33,31,5,66,77,27,12,98,10,98,57,67,7,100,62,48,66,83,25,78,80,50,47,71,8,54,23,86,51,85,39,66,97,80,69,79,15,81,60,18,98,33,61
50,81,4,92,19,90,81,37,75,45,58,37,9,60,73,41,82,53,69,53,48,60,58,28,56,81,38,79,79,87,26,55,27,48,15,35,20,85,67,60,20,13,37,47,73,67,45,48,6,52
20,41,8,6,61,91,63,43,74,21,71,74,47,28,47,59,86,96,98,46,62,27,5,64,71,55,58,72,47,84,79,33,52,62,85,47,46,6,31,45,47,33,76,55,38,82,89,48,49,73
89,29,32,6,95,99,50,76,66,39,49,22,10,9,32,99,20,51,99,55,15,81,73,85,40,91,86,85,22,36,58,88,46,93,31,87,32,25,64,2,38,26,61,75,85,49,64,10,54,60
59,96,53,49,55,34,99,48,75,41,84,14,20,46,89,65,45,66,33,72,98,39,17,97,95,70,77,24,29,35,66,46,27,34,19,90,74,67,95,74,39,87,59,93,85,72,64,7,83,48
73,13,60,67,65,50,45,10,87,90,25,16,4,76,82,15,71,68,8,88,20,64,96,57,31,50,73,66,88,41,85,86,31,47,15,43,89,13,8,53,79,51,41,37,84,53,44,83,79,4
29,58,64,89,63,80,20,86,100,87,70,10,100,31,64,45,39,15,78,29,97,62,16,23,16,42,66,67,90,56,35,62,70,70,7,2,24,70,65,42,26,74,66,28,7,39,49,72,78,96
6,15,14,76,36,72,20,49,82,95,44,85,32,12,21,3,12,1,75,81,65,33,86,21,83,34,73,47,45,46,47,5,25,37,100,41,63,38,84,38,60,33,2,82,17,71,46,27,50,41
82,23,98,74,29,41,51,28,13,67,100,27,54,62,49,25,68,33,74,99,77,87,76,6,74,81,93,86,55,57,61,14,79,96,13,21,81,81,51,29,43,95,13,22,9,24,68,19,40,69
16,57,90,2,13,58,25,100,31,79,60,81,26,6,81,13,42,57,88,3,94,32,53,56,12,13,86,91,70,26,38,92,10,77,43,92,29,71,97,22,56,73,100,70,20,37,59,62,2,10
24,65,97,25,82,86,48,17,25,98,83,29,18,54,61,4,28,14,48,5,92,93,53,68,86,28,16,49,9,81,60,11,14,42,21,8,89,40,39,45,96,16,77,51,29,96,71,74,95,100
17,2,72,52,84,89,54,59,93,50,46,77,84,90,41,47,92,88,68,2,22,59,76,20,19,68,64,4,51,18,88,75,47,72,83,27,6,87,83,82,9,62,64,70,57,14,25,46,66,80
70,9,48,72,34,82,73,45,41,44,79,35,32,6,77,78,60,62,48,71,61,43,15,63,40,4,48,43,37,7,47,41,30,30,47,99,55,2,99,84,50,29,42,88,19,43,35,59,3,77
85,35,5,84,55,64,75,14,21,12,51,27,89,13,68,38,91,42,64,61,19,18,83,53,22,6,60,98,54,33,59,2,25,70,49,20,11,99,99,88,81,1,28,77,88,49,74,6,7,30
59,70,60,16,19,68,10,51,8,73,76,93,11,5,26,76,52,68,35,88,84,71,54,67,3,91,15,42,33,46,2,24,58,33,31,93,66,36,74,100,11,33,63,69,87,37,100,44,99,88
13,64,3,44,21,10,79,85,30,54,6,83,42,40,68,72,61,82,41,5,38,52,29,48,79,77,85,51,48,65,32,17,49,47,82,76,55,53,99,74,5,24,79,21,11,97,92,55,43,6
97,40,77,56,96,95,4,26,21,70,84,42,5,70,45,6,27,25,71,24,67,60,71,29,60,65,70,77,10,41,61,81,45,13,43,33,30,56,80,75,59,68,56,28,85,29,94,87,69,29
37,56,47,64,82,56,7,16,50,94,1,61,55,93,52,43,14,25,91,8,86,63,93,61,9,65,100,27,35,54,80,6,98,36,67,18,40,39,49,32,34,64,40,41,9,73,53,69,89,18
