3,73,23,44,46,72,100,91,79,6,4,57,62,13,9,49,86,14,13,75
72,97,21,78,44,1,60,51,97,37,97,92,23,42,91,66,22,57,34,9
94,16,67,93,81,84,67,33,28,63,19,27,49,35,91,51,78,19,3,24
66,13,65,81,81,88,57,6,33,91,96,88,63,49,40,39,67,67,84,95
6,99,60,9,1,5,93,76,2,47,9,24,72,93,41,23,46,40,47,26
72,65,50,19,40,22,16,7,79,32,37,93,31,14,18,79,36,70,14,16
39,58,60,76,22,7,39,38,35,96,21,58,99,40,34,82,58,71,8,66
61,2,2,90,81,11,42,67,13,18,70,60,59,61,85,96,36,52,55,71
26,82,59,93,93,61,26,20,89,68,53,78,48,39,6,7,91,87,97,23
25,49,17,32,47,13,78,78,89,25,45,41,65,18,77,52,97,51,58,27
12,52,77,19,96,86,26,67,44,52,59,62,50,83,57,26,58,12,34,86
33,73,65,85,4,82,18,9,80,28,48,80,28,19,18,76,29,25,76,41
11,78,4,100,38,10,93,96,88,77,62,87,17,91,41,67,88,46,84,28
85,12,50,57,21,7,92,38,14,31,9,55,82,84,70,10,84,49,28,88
52,90,77,26,25,46,85,3,34,100,80,83,58,36,27,87,56,61,81,64
2,45,68,40,29,44,21,46,2,64,79,24,92,64,56,46,89,16,81,65
52,85,40,74,62,65,47,39,1,5,80,4,95,90,75,10,75,90,97,11
83,74,15,62,40,15,52,83,18,15,16,56,79,30,94,24,56,91,36,100
65,76,11,72,15,29,60,81,30,4,61,48,9,32,6,74,89,12,41,15
91,88,12,23,30,7,47,91,45,22,39,12,1,90,63,25,33,72,61,19
