16,83,75,25,90,26,100,54,7,85,84,54,70,34,97,1,20,84,28,83
56,56,84,2,68,58,100,61,87,82,96,4,67,28,94,73,41,52,41,53
79,46,70,47,46,92,7,50,57,7,5,90,59,94,27,35,47,60,52,15
76,3,100,72,19,73,32,7,70,74,8,31,64,5,83,88,58,37,15,64
69,100,49,14,51,44,50,16,31,75,88,29,70,49,84,10,9,93,78,28
23,9,42,68,4,87,86,10,32,19,72,47,76,48,68,89,25,84,25,71
12,2,65,89,38,43,13,74,8,87,65,30,58,92,97,49,59,41,26,89
77,98,18,29,33,68,5,88,78,21,51,78,8,76,67,68,49,40,71,84
73,1,41,16,46,55,88,67,21,81,16,99,41,53,38,42,29,91,96,16
48,53,92,17,14,83,17,1,88,47,30,56,68,79,24,20,55,47,11,73
41,87,48,97,52,17,3,20,54,63,72,75,56,63,74,96,28,68,7,97
46,32,33,81,34,66,47,36,12,80,56,48,100,95,30,36,71,44,68,82
65,49,85,17,91,42,79,54,88,53,70,83,43,99,10,59,83,6,72,5
77,6,93,85,46,53,85,90,16,4,63,55,21,82,82,47,94,99,71,76
72,21,99,54,69,18,86,45,10,20,10,68,60,41,37,8,85,18,47,31
12,14,73,38,56,14,59,55,70,43,77,80,8,60,4,60,58,70,87,91
19,76,40,70,61,72,80,52,13,84,66,70,82,49,39,46,40,95,98,18
83,39,42,36,72,86,34,48,6,51,64,41,61,8,73,19,10,86,75,51
52,17,33,38,28,29,81,9,62,97,84,68,4,17,51,35,48,27,79,45
50,10,19,91,1,98,43,27,44,81,52,84,76,36,86,89,71,85,4,69
