91,35,94,51,19,71,38,66,6,25,20,56,60,42,22,87,96,92,61,27,30,47,52,8,23,26,86,25,22,77,45,55,62,41,49,14,7,81,64,61,29,61,97,7,48,24,99,61,68,36
62,56,37,28,51,83,41,79,22,8,33,50,50,17,23,79,51,70,66,34,79,90,74,93,53,27,56,79,73,2,73,47,49,56,71,25,75,13,29,18,34,37,74,28,39,31,39,68,91,69
48,2,79,16,19,79,98,96,44,81,73,58,1,47,3,97,20,68,83,95,30,91,7,87,58,90,55,74,26,72,15,94,61,53,7,25,31,51,27,43,66,50,69,93,23,41,54,65,42,28
52,95,25,41,34,91,37,1,89,76,4,98,7,80,65,57,65,46,1,97,60,11,85,92,56,63,28,4,45,18,46,46,72,93,21,10,92,38,72,37,99,15,39,75,60,69,21,72,98,73
19,79,96,22,12,49,41,59,22,36,48,5,9,30,64,78,80,68,14,87,83,86,74,20,52,19,55,69,7,47,92,92,77,35,61,90,61,25,45,22,64,37,43,97,33,83,30,80,98,83
9,84,43,27,51,93,50,53,36,53,8,72,90,36,64,2,67,91,75,62,74,24,12,11,94,56,62,87,18,2,98,9,96,58,21,9,92,32,36,94,64,8,48,38,57,88,81,54,22,57
74,29,42,55,77,83,16,61,100,1,1,12,38,70,74,32,45,54,45,75,92,37,52,3,74,7,18,74,94,49,86,59,95,57,9,23,55,46,82,62,81,17,45,64,45,49,8,1,45,35
38,66,69,75,81,46,71,64,25,32,26,53,39,64,3,78,78,4,97,8,1,86,83,31,13,65,11,59,36,14,93,100,56,20,93,37,9,6,91,49,77,31,59,18,65,83,52,16,93,82
45,17,75,54,77,22,25,30,13,87,49,91,54,64,60,22,92,22,68,62,72,35,12,42,92,32,90,89,51,35,94,53,1,3,11,85,2,93,79,77,25,17,82,64,23,69,40,44,46,27
61,61,98,49,9,41,21,38,30,45,96,11,41,38,61,62,17,62,26,81,40,56,66,90,3,26,57,99,96,47,14,62,84,8,1,90,69,47,48,69,30,90,75,56,32,30,6,83,73,22
30,42,32,37,2,10,42,4,55,69,91,93,76,61,89,3,90,94,7,76,67,20,98,85,38,61,8,5,100,73,23,57,5,48,59,88,88,40,5,48,17,30,10,71,46,55,33,14,51,75
86,38,7,9,59,24,79,18,53,95,35,3,86,32,46,29,11,8,7,89,12,78,46,66,25,42,34,69,83,97,28,13,45,71,42,74,19,84,6,13,74,24,55,45,9,7,82,21,86,35
45,60,52,97,29,24,27,62,10,39,70,73,20,91,51,89,16,58,82,9,62,87,88,56,31,71,85,2,57,65,53,37,78,41,15,72,96,63,9,76,69,4,36,55,81,26,88,43,16,62
95,47,21,58,7,72,38,75,57,26,21,56,95,9,55,10,96,78,11,82,96,61,46,43,8,69,41,81,79,5,89,15,50,22,98,76,16,43,33,88,58,29,29,53,92,95,34,83,38,43
99,26,12,13,88,72,75,14,10,59,4,61,95,44,43,85,87,30,34,85,18,22,83,97,85,17,83,13,15,79,96,37,11,4,42,7,23,59,64,39,1,79,62,82,1,71,91,88,71,62
27,32,8,8,45,58,75,22,22,31,24,18,64,30,88,45,12,93,90,22,37,20,30,37,18,6,50,27,91,84,83,41,76,9,30,78,90,94,40,2,89,42,97,74,53,60,95,72,42,97
28,83,75,50,4,69,52,3,54,53,90,51,55,71,63,11,4,7,18,9,12,92,10,18,82,79,94,75,99,57,28,41,80,32,80,31,53,41,20,56,94,26,61,75,77,64,74,77,81,3
50,44,11,31,5,37,97,8,20,58,72,35,80,91,41,92,45,94,84,14,38,74,81,57,33,75,20,79,19,75,43,17,93,54,100,86,95,53,90,55,91,83,46,69,61,95,4,98,55,17
55,32,8,70,46,62,59,53,46,41,85,17,17,79,90,76,21,52,66,13,7,62,37,10,64,41,60,50,41,33,20,55,37,25,76,43,4,96,76,11,79,68,16,48,49,93,12,22,44,16
66,27,21,93,26,34,40,93,74,35,4,72,40,90,64,72,81,8,53,31,45,31,54,45,57,27,51,92,54,63,41,75,50,47,28,61,16,47,87,84,55,47,56,92,27,55,33,53,31,74
