22,97,80,9,29,30,62,33,39,101,70,31,64,18,10,43,46,44,82,35,51,37,79,19,25,54,23,72,67,59,45,86,65,68,1,24,85,75,12,93,100,53,57,8,6,77,78,14,99,63,96,98,61,92,13,40,38,52,81,48,32,34,91,47,76,16,58,4,7,3,88,90,28,17,27,36,55,60,95,66,5,21,41,20,15,94,89,69,49,73,2,87,50,74,11,83,26,42,71,84,56
56,52,39,55,20,73,3,36,72,61,30,70,99,28,74,76,10,11,45,26,62,65,59,32,27,2,100,19,97,24,96,14,17,48,34,40,91,63,87,81,47,60,88,93,6,42,78,4,90,12,53,77,22,43,1,92,84,54,75,23,79,25,98,21,71,31,86,66,33,51,41,5,44,94,89,64,95,13,101,15,82,37,49,46,69,50,83,57,35,58,67,9,8,80,18,7,85,68,29,16,38
44,67,61,69,80,65,59,34,14,55,60,51,99,57,15,31,100,19,52,76,92,2,10,71,11,91,96,1,20,81,5,50,54,48,78,29,63,36,90,7,68,3,72,75,46,38,64,45,23,93,6,85,73,26,79,30,89,77,83,97,49,41,82,25,8,16,4,47,33,94,27,74,56,18,12,88,28,62,40,43,53,37,86,58,21,17,22,98,39,9,84,87,95,101,24,32,13,70,35,42,66
69,28,71,13,37,85,45,36,89,22,90,41,9,81,63,5,73,61,18,3,93,50,95,52,76,77,84,47,35,96,16,58,21,17,4,12,60,43,48,26,44,29,55,51,11,66,72,64,67,25,83,59,53,79,80,10,40,75,86,30,87,23,14,68,19,39,94,6,1,27,2,33,8,70,78,54,98,92,100,46,65,24,49,74,97,7,31,34,42,88,15,101,91,99,32,82,56,20,38,62,57
10,63,71,21,87,36,90,67,58,5,6,82,62,59,79,29,11,43,101,55,77,26,91,23,95,94,66,92,54,13,85,64,12,84,8,48,39,89,19,32,2,97,56,31,20,100,35,81,80,65,37,50,96,53,33,18,4,25,3,51,52,44,98,9,60,7,75,72,57,83,24,45,99,74,88,46,40,17,86,70,47,30,34,16,68,27,69,15,61,93,78,42,22,1,38,28,76,41,49,73,14
72,100,87,26,57,52,71,32,9,51,37,90,68,16,77,75,28,66,95,39,1,54,43,49,93,14,7,41,36,46,10,89,84,27,64,22,74,21,19,2,4,44,45,48,60,99,58,35,80,23,91,61,96,8,86,13,97,81,98,47,11,42,30,101,92,38,40,79,65,88,78,73,76,59,3,83,6,70,20,67,63,18,34,33,25,55,69,82,56,62,5,31,50,15,85,29,94,17,24,12,53
20,77,12,6,97,87,48,1,43,98,92,53,71,74,84,19,79,31,42,26,59,90,86,11,36,3,10,62,51,60,9,82,2,50,44,67,69,37,52,41,33,68,58,34,88,39,96,80,8,17,24,30,35,57,13,49,100,55,22,14,15,32,38,75,64,16,21,23,85,93,76,65,101,46,61,40,56,28,66,63,4,95,94,78,27,72,45,29,47,70,89,54,18,91,5,73,99,81,7,83,25
9,17,2,86,99,41,11,73,52,98,93,96,64,39,61,50,55,1,3,6,66,20,65,79,76,60,32,87,72,56,34,54,31,71,5,30,46,70,92,88,40,23,4,69,77,48,68,12,33,43,26,13,25,97,94,85,51,59,21,63,35,80,45,14,58,8,22,27,57,42,29,47,91,53,84,75,44,95,37,10,36,62,24,74,82,49,15,7,16,19,83,101,67,89,100,81,90,18,28,38,78
30,5,55,36,3,22,71,65,1,88,64,44,16,17,26,54,73,84,12,78,80,91,57,19,69,93,96,20,38,2,13,98,61,45,37,8,63,100,68,51,50,43,95,67,28,97,15,42,40,41,18,86,27,81,7,59,4,25,47,56,21,62,29,94,82,11,83,90,31,48,6,52,85,23,58,87,75,89,77,34,39,66,79,53,32,10,101,46,60,76,24,9,74,70,99,35,14,92,72,49,33
8,21,60,14,79,3,22,46,13,98,63,101,100,27,73,55,97,65,83,33,96,34,84,57,86,89,44,30,69,62,95,9,59,38,51,70,58,2,35,4,5,68,36,92,32,10,99,47,11,50,93,81,19,40,48,1,91,77,23,75,52,41,26,67,74,71,43,28,12,78,42,66,16,94,31,85,80,53,25,90,29,6,7,54,82,37,39,24,18,64,61,15,49,20,87,72,17,45,56,76,88
