76,39,27,54,41,30,82,71,67,57,63,49,59,28,42,17,23,77,95,22
58,90,15,56,1,78,61,35,55,29,77,17,54,53,51,93,91,15,6,84
41,73,4,26,26,46,16,84,69,7,87,6,98,44,56,84,4,86,85,29
64,6,67,31,70,38,42,63,77,66,98,9,23,68,57,27,8,29,55,43
59,24,87,97,7,72,74,66,14,37,59,51,66,8,37,84,65,25,44,55
87,84,38,78,51,70,58,39,28,92,60,41,6,26,11,3,30,51,83,65
20,5,8,17,6,81,20,22,66,62,49,65,4,9,16,96,16,23,53,57
92,25,22,62,52,39,49,2,45,66,70,81,92,24,78,71,3,67,22,29
60,98,68,100,73,91,51,27,95,88,67,94,93,3,43,82,16,48,60,45
77,20,43,86,22,69,40,56,53,100,95,33,33,87,20,87,40,8,18,91
86,57,9,78,50,99,16,76,49,11,27,17,47,43,30,25,34,82,79,69
94,2,68,47,7,48,79,8,27,95,26,99,45,74,51,53,37,59,19,76
32,53,92,4,74,53,51,52,62,43,79,71,43,21,60,95,74,45,83,47
57,91,32,14,83,57,46,94,73,30,46,67,75,75,98,24,68,10,62,69
38,18,91,81,34,2,94,65,50,7,18,24,4,84,61,98,31,64,42,45
6,38,15,76,94,69,30,29,39,60,71,77,27,10,2,19,49,98,56,66
19,23,2,50,4,74,77,100,5,45,8,10,30,4,45,20,73,17,72,44
85,21,2,36,50,73,36,92,97,65,17,54,14,9,33,53,87,62,78,64
38,72,82,78,69,57,8,70,8,77,32,75,30,25,26,6,50,69,21,38
78,99,51,26,56,28,75,97,38,25,95,61,46,51,7,36,58,35,86,91
