97,49,15,79,57,89,53,46,28,84,29,48,21,62,31,62,26,45,14,41,71,78,56,23,64,80,39,72,7,38,43,38,16,67,3,98,26,51,3,4,98,62,47,14,6,36,49,45,14,66,61,99,2,75,57,25,90,80,73,80,38,25,98,66,90,66,84,61,22,72,10,12,31,85,83,94,2,35,13,17,76,47,41,57,34,79,4,4,7,81,28,46,26,63,19,24,15,6,97,34,90,62,8,27,93,15,27,77,1,31,1,10,64,1,25,89,69,72,88,77,76,21,32,62,63,71,55,12,99,23,90,23,11,17,89,60,13,2,100,89,62,21,74,45,32,19,49,75,65,74,89,87,26,42,26,40,67,96,22,99,52,21,88,67,87,13,64,32,66,40,61,14,30,36,71,86,74,49,55,96,8,73,7,93,47,93,60,99,76,72,49,17,66,73,26,99,63,46,6,69
60,87,23,15,89,99,56,69,19,20,41,4,85,89,37,55,1,2,29,97,21,73,52,9,52,82,42,82,2,43,65,37,96,79,9,83,70,20,89,23,14,41,63,51,37,91,72,74,31,10,99,5,38,80,60,45,6,27,80,30,74,85,34,69,60,40,44,92,76,65,54,46,51,62,37,28,22,87,81,20,86,62,5,78,24,57,87,26,6,7,74,8,8,49,98,10,14,83,87,73,52,16,63,87,78,35,29,65,25,78,12,86,88,58,90,85,97,81,50,23,38,5,19,90,65,52,48,64,47,53,57,37,55,44,68,89,17,63,63,63,18,10,34,42,77,49,40,4,90,81,54,18,60,46,81,53,57,50,52,7,68,20,87,46,23,69,84,5,5,14,65,3,39,91,9,37,38,95,78,50,13,58,31,21,7,68,3,69,55,5,98,22,100,35,61,20,95,31,84,42
21,90,20,48,18,63,6,96,21,47,60,38,30,74,62,32,30,6,31,52,77,44,63,25,66,85,83,32,72,87,15,37,5,26,9,27,26,2,69,96,100,50,30,35,63,78,81,16,36,14,37,48,33,16,75,75,38,15,94,73,48,3,68,78,30,49,6,12,17,93,68,45,12,88,74,26,25,28,11,75,31,67,3,80,78,9,19,6,90,1,58,33,72,50,49,53,55,92,18,34,90,3,93,78,58,96,23,70,90,94,67,11,94,41,63,74,62,87,36,32,21,22,4,42,17,62,75,24,92,33,78,26,51,58,1,66,46,49,12,61,67,69,63,60,86,73,11,99,11,41,15,24,18,66,38,18,6,78,8,53,40,66,14,100,70,61,45,39,100,5,99,94,29,81,54,81,77,21,43,47,31,58,85,68,96,83,27,5,51,6,6,62,63,19,8,86,79,25,88,3
14,48,22,60,4,78,96,43,36,42,26,97,60,45,52,69,6,97,93,43,23,8,53,2,37,80,52,41,23,73,67,77,49,83,8,7,81,85,15,42,52,30,76,97,9,88,63,13,2,46,17,28,72,59,7,54,97,7,1,14,35,40,36,97,63,66,40,65,81,17,27,100,43,67,79,95,56,94,38,60,11,62,3,34,39,46,52,90,33,99,54,17,12,90,44,97,46,4,40,6,13,84,23,49,31,24,10,78,100,76,37,36,37,100,71,87,86,32,28,43,15,73,6,1,4,41,70,37,6,48,39,72,87,57,21,16,62,99,19,85,85,61,61,39,64,1,81,97,23,40,19,38,13,15,27,77,57,85,27,55,37,24,11,34,55,17,73,53,3,96,40,23,82,21,37,64,88,57,68,18,54,47,52,95,86,52,22,47,16,80,25,84,22,83,54,48,47,97,59,23
81,14,71,74,51,89,80,98,97,97,21,16,67,84,24,89,62,61,67,64,86,67,52,80,83,61,34,91,65,53,91,71,16,94,7,92,15,91,80,10,1,16,79,100,7,19,50,65,31,50,17,80,14,6,33,32,9,81,37,58,87,51,27,72,8,24,23,36,7,81,72,73,9,52,24,20,41,81,37,49,94,79,64,79,41,66,47,84,64,5,58,36,41,39,3,83,65,9,90,68,96,91,75,34,4,27,14,56,70,79,74,97,60,70,96,48,73,71,71,51,97,6,79,23,73,91,7,38,96,21,59,3,64,25,72,51,38,30,33,21,14,34,53,84,73,73,83,77,61,47,93,50,79,14,93,75,80,98,91,76,20,63,60,77,59,77,43,83,39,98,21,18,59,81,30,26,60,28,65,94,17,9,27,32,71,26,48,12,57,11,90,72,75,16,100,29,32,11,86,48
76,2,56,11,66,12,7,88,66,29,18,31,90,26,13,10,13,72,10,43,8,36,94,67,6,100,12,78,56,26,65,63,10,12,80,37,39,17,77,40,31,76,68,19,16,91,46,48,60,86,49,1,76,2,8,92,16,21,100,40,49,10,58,88,21,8,1,92,21,11,67,49,22,76,27,48,58,65,40,99,56,54,82,73,35,15,100,26,100,51,42,68,2,65,59,42,14,67,8,78,29,81,61,93,86,33,56,18,51,96,41,36,68,45,43,59,87,56,77,32,83,9,13,64,40,15,23,5,50,18,93,43,33,86,83,81,38,16,58,37,5,90,68,25,22,29,29,71,20,14,88,40,8,70,9,49,59,70,75,56,79,96,99,62,17,32,83,69,74,55,82,39,28,46,75,92,73,45,56,97,80,68,73,56,4,37,32,4,97,40,53,89,99,19,19,38,77,68,71,87
79,62,18,19,79,97,22,9,41,81,50,59,32,46,49,69,21,8,14,99,3,26,59,91,15,45,68,42,63,39,98,84,86,5,74,6,52,21,96,59,93,90,27,37,73,92,12,37,8,23,91,56,77,8,43,51,90,75,25,40,89,24,60,78,8,91,52,56,24,28,79,9,31,91,13,55,91,41,30,20,42,46,32,96,95,7,44,3,17,86,44,86,87,87,35,39,6,13,92,63,34,8,81,48,91,6,83,12,71,76,10,66,13,81,45,57,39,94,21,20,21,8,30,1,2,69,64,36,63,16,38,62,98,2,92,23,7,16,94,97,65,29,83,99,22,50,47,100,79,45,8,94,52,78,24,8,73,66,67,46,60,47,28,91,81,89,60,6,72,33,1,98,62,83,21,24,79,2,47,63,77,33,23,43,88,79,83,91,54,59,92,25,1,85,90,15,27,60,19,18
89,64,45,25,61,35,57,20,81,80,27,34,8,32,33,60,7,30,62,13,3,82,23,23,80,95,94,52,17,64,2,66,61,29,77,9,30,57,98,31,64,3,51,1,68,30,86,95,4,88,27,6,5,18,20,48,73,2,15,12,10,54,82,7,44,86,54,30,97,8,29,88,2,72,7,55,16,60,56,76,14,80,83,69,36,18,21,50,64,18,89,81,84,75,52,43,79,49,27,47,11,100,11,8,37,58,37,81,35,83,21,55,54,37,80,19,29,5,81,21,45,75,89,13,35,80,66,44,63,6,36,58,45,24,1,19,62,90,15,69,38,87,76,67,87,64,36,88,77,25,35,77,32,15,39,89,8,17,69,10,23,55,26,86,67,81,10,41,45,17,43,9,26,77,62,86,78,8,32,40,28,88,88,18,43,71,94,39,89,34,64,43,57,69,62,81,57,50,13,83
51,4,90,60,82,28,21,89,51,85,29,8,72,59,8,10,34,27,41,23,31,61,23,66,24,21,64,5,19,71,69,98,19,63,25,9,16,82,20,73,16,53,2,66,6,78,8,25,39,47,86,32,45,28,18,38,86,80,41,68,27,83,65,38,57,67,8,87,32,77,14,26,46,99,32,11,24,62,91,33,48,69,56,49,45,20,100,73,92,60,59,49,11,32,12,5,66,33,17,34,8,91,47,57,67,50,41,97,93,33,96,47,7,53,48,39,38,89,1,1,21,25,97,42,31,79,4,84,55,49,47,14,46,33,69,91,16,42,95,40,86,68,76,56,47,48,59,78,76,81,24,14,5,42,57,87,45,28,7,42,19,31,46,23,94,33,40,80,66,5,12,50,90,20,14,46,25,79,56,69,53,5,55,76,12,21,68,95,7,36,13,75,14,57,40,34,3,22,45,45
22,48,49,3,41,76,17,86,40,34,49,52,93,54,84,91,100,25,1,57,56,58,53,38,48,3,62,63,71,12,98,15,64,73,24,53,10,8,40,75,4,20,37,66,83,89,61,42,76,75,59,35,60,99,40,22,26,74,25,57,11,53,84,99,81,14,50,21,61,7,87,68,14,96,72,12,50,92,92,81,71,99,83,35,54,53,55,43,74,12,54,13,8,6,70,28,78,82,17,32,74,79,12,60,75,66,81,54,40,59,100,10,3,80,25,48,29,28,98,65,68,97,6,79,38,50,58,82,16,32,46,40,51,48,14,54,49,73,67,90,61,79,70,90,58,83,97,66,88,25,7,69,69,30,45,21,27,77,87,82,62,45,19,87,8,40,73,40,69,100,37,29,64,46,53,46,8,97,44,89,20,56,58,7,88,77,83,16,73,53,81,39,56,60,10,37,81,28,77,22
